householdsize,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop
2.62,19.88,34.55,21.62,13.12,103590.0,100.0,17852.0,74.2,0.86,30.98,29.09,9.06,13.99,24058.0,10195.0,27767.0,28.68,13.01,31.62,17.02,8.39,51.37,15.73,29.06,16.43,24.3,11.07,38.49,14.66,12.97,3.11,61.65,54.56,68.85,61.69,60.8,69.23,3537.0,4.71,6.7,4.1,2.45,2.47,2.44,46.82,6.14,59.96,2.0,5606.0,87.57,46.51,5.64,37.57,1960.0,11.74,0.33,28600.0,43100.0,67400.0,38800.0,192.0,281.0,369.0,177.0,353.0,29.6,19.4,13.0,43.0,4.0,75.59,42.33,74.05,92.12,198.0,183.53,187.0,173.33,73432.0,68065.1,370.9,183.5,13.0,12.0,60.2,78.5,1319.3,0.76,100.0,9315474.0,94.44,10.0,6.57,86346.3
2.74,16.51,28.17,14.68,13.38,57140.0,100.0,19143.0,69.31,0.63,24.41,33.46,13.58,14.16,24442.0,9530.0,15283.0,27.71,14.49,34.5,16.56,11.05,51.37,17.94,27.79,18.07,22.71,10.92,30.7,14.18,12.74,3.26,58.65,50.22,63.07,59.7,64.38,70.59,4401.0,8.51,7.86,5.5,2.64,2.64,2.65,61.62,5.43,46.91,3.0,2318.0,90.0,61.74,4.06,39.65,1964.0,11.65,0.73,28100.0,41200.0,59900.0,31800.0,152.0,219.0,287.0,135.0,333.0,29.1,17.5,15.7,28.0,0.0,80.16,56.01,85.46,92.02,111.0,189.09,89.0,151.61,39900.0,67969.3,359.5,189.1,12.0,7.0,72.1,43.9,1301.5,0.93,44.0,3761016.0,80.18,10.0,10.81,64068.5
2.62,12.04,26.68,12.37,11.54,180038.0,100.0,34372.0,76.17,0.62,40.04,20.3,11.27,11.51,39652.0,17966.0,25484.0,14.37,11.54,22.83,28.55,6.95,60.04,14.43,24.78,9.07,33.09,8.68,34.45,13.33,11.12,3.22,77.1,74.78,86.01,79.01,52.45,59.33,3034.0,2.62,6.98,4.6,2.59,2.63,2.56,39.38,18.31,75.17,2.0,3510.0,95.13,38.71,2.25,17.69,1962.0,1.53,0.46,249800.0,343600.0,469800.0,220000.0,511.0,626.0,763.0,252.0,688.0,30.5,25.3,11.6,82.0,17.0,29.68,37.69,73.29,76.85,204.0,113.73,189.0,105.36,254080.0,141645.0,1245.5,113.7,12.0,11.0,16.9,31.7,5677.3,4.15,86.0,20900410.0,92.65,5.0,5.88,116516.0
2.6,14.18,32.78,15.14,4.58,261763.0,100.0,35048.0,90.25,0.81,39.01,11.05,2.71,9.12,41620.0,16239.0,21272.0,8.21,3.71,12.19,29.99,4.99,74.65,18.91,18.97,10.6,30.91,10.73,30.21,14.79,12.77,3.14,78.19,75.99,87.64,76.69,63.48,71.53,2898.0,1.89,4.07,2.8,2.58,2.89,2.25,58.0,4.95,47.54,3.0,12116.0,89.26,51.84,1.81,27.45,1978.0,5.5,0.14,64100.0,82800.0,110200.0,46100.0,312.0,382.0,469.0,157.0,444.0,23.7,22.0,11.8,47.0,1.0,51.54,36.76,67.01,84.09,356.0,121.78,330.0,112.89,350000.0,119730.2,983.1,121.8,28.0,10.0,42.1,96.4,2716.3,0.14,98.0,20195376.0,92.7,10.0,7.87,69085.6
2.6,13.06,27.46,13.09,11.62,7322564.0,100.0,29823.0,73.57,0.48,35.38,24.6,13.12,12.56,34360.0,16281.0,1384994.0,19.29,14.1,31.68,22.98,8.98,56.12,11.41,28.4,11.64,30.55,9.13,41.0,14.02,11.77,3.27,57.64,52.24,67.42,59.25,47.37,56.42,527557.0,10.5,9.16,5.71,2.54,2.8,2.43,31.59,12.3,73.76,2.0,172768.0,94.23,28.64,4.83,40.33,1946.0,7.33,1.25,149700.0,189600.0,244600.0,94900.0,320.0,448.0,615.0,295.0,496.0,25.7,21.8,14.1,23383.0,10447.0,53.09,63.06,82.76,89.78,25655.0,350.5,22496.0,307.34,8328470.0,113784.0,324.6,350.5,1773.0,10.0,242.2,320.1,22878.2,54.33,3187.0,1617293056.0,87.69,5.0,6.91,220955.41
3.84,19.93,33.12,16.79,7.32,122899.0,100.0,18395.0,79.18,1.17,18.24,22.73,16.71,7.95,19910.0,6981.0,45126.0,37.29,36.26,51.16,11.63,11.24,51.36,5.4,23.07,14.83,21.99,6.18,32.64,10.95,8.73,4.16,75.51,67.71,84.14,75.33,48.23,52.73,3070.0,2.8,21.34,18.23,3.78,3.95,3.54,61.58,26.43,53.73,2.0,1969.0,94.21,58.96,6.4,42.25,1972.0,12.42,2.11,33700.0,52500.0,75000.0,41300.0,161.0,245.0,339.0,178.0,315.0,27.6,22.6,12.8,4.0,0.0,67.12,60.11,86.08,91.7,188.0,123.09,163.0,106.72,150000.0,98208.7,797.9,123.1,8.0,3.0,160.7,34.1,3608.7,3.55,90.0,6357675.0,86.7,0.0,4.26,41625.3
2.87,16.56,32.21,16.08,7.82,71166.0,100.0,21962.0,72.63,0.11,20.23,23.85,22.07,16.66,25834.0,9847.0,18222.0,26.67,12.04,37.61,7.95,14.4,51.07,26.9,23.36,24.49,14.34,15.75,42.09,19.81,17.89,3.34,46.61,41.73,48.83,52.16,53.63,59.61,7538.0,12.73,9.52,6.52,2.76,2.91,2.61,52.36,6.93,55.71,2.0,1816.0,93.17,49.73,12.83,37.78,1954.0,8.97,0.46,27800.0,36300.0,45700.0,17900.0,257.0,362.0,448.0,191.0,436.0,30.5,17.2,14.0,132.0,3.0,66.2,51.8,86.51,92.67,159.0,228.21,144.0,206.68,78506.0,112677.8,493.7,228.2,17.0,11.0,268.6,20.7,3434.7,0.9,81.0,14569244.0,90.57,10.0,10.69,209108.91
2.2,11.38,22.12,10.53,17.88,31971.0,100.0,54348.0,73.0,0.56,55.83,28.0,3.47,9.02,83272.0,55463.0,2105.0,6.6,3.6,10.57,46.95,3.8,60.76,8.37,28.42,1.37,51.85,8.33,32.58,15.23,12.23,2.87,75.73,77.69,90.56,81.23,49.3,55.66,223.0,1.04,4.05,2.25,2.19,2.71,1.78,54.32,3.27,61.04,2.0,1159.0,92.63,43.85,1.38,31.23,1949.0,0.4,0.2,500001.0,500001.0,500001.0,0.0,660.0,902.0,1001.0,341.0,925.0,29.5,24.0,12.9,0.0,5.0,26.78,52.74,82.67,85.41,126.0,378.44,121.0,363.42,74615.0,224102.7,592.2,378.4,6.0,1.0,71.6,5.9,5437.2,4.31,68.0,15288046.0,96.03,0.0,4.76,459169.41
2.54,14.78,28.65,14.52,12.25,332943.0,100.0,24819.0,71.86,0.36,36.37,28.93,12.29,18.44,30980.0,11894.0,62426.0,19.09,8.57,26.84,14.06,9.92,55.56,19.58,26.72,18.52,22.88,11.86,34.15,15.15,13.62,3.13,62.64,58.92,68.72,65.53,57.77,66.3,15969.0,6.0,5.59,3.65,2.5,2.64,2.28,64.11,1.95,47.33,3.0,11242.0,92.09,60.65,13.37,48.67,1951.0,5.49,0.34,33800.0,48900.0,68500.0,34700.0,210.0,286.0,365.0,155.0,378.0,27.2,17.0,13.9,260.0,12.0,76.14,56.77,88.0,93.19,683.0,210.82,551.0,170.08,351211.0,108407.8,514.2,210.8,30.0,12.0,89.3,83.5,3988.5,3.0,222.0,41348280.0,80.67,5.0,4.39,127629.2
2.63,13.92,28.02,14.12,13.74,1585577.0,100.0,24603.0,70.12,0.35,32.15,31.63,13.98,18.2,30140.0,12091.0,313374.0,20.27,11.29,35.69,15.22,9.62,52.77,13.58,29.55,14.13,24.81,10.62,42.11,14.12,12.53,3.26,53.45,47.22,62.33,56.66,54.09,62.23,138864.0,11.53,8.48,5.42,2.56,2.75,2.25,66.55,4.69,42.28,3.0,71824.0,89.36,61.95,21.96,59.26,1939.0,4.25,0.88,27900.0,49400.0,77100.0,49200.0,252.0,358.0,483.0,231.0,452.0,29.8,19.3,14.8,3416.0,1069.0,73.58,64.33,88.86,92.65,6523.0,426.38,6519.0,426.12,5480855.0,358261.41,840.2,426.4,273.0,14.0,39.9,140.0,11326.0,29.31,822.0,287578496.0,99.94,0.0,4.19,187978.5
